Kode	Tekst
KFCA70	Resektion af aortarod og aorta ascendens med reimplantation af koronarkar og brug af biologisk klapprotese og rørprotese
KFCA83	Fjernelse af fremmedlegeme fra aorta ascendens
KFCA84	Perkutan transluminal fjernelse af fremmedlegeme fra aorta ascendens
KFCA96	Anden sutur eller plastik på aorta ascendens
KFCB	Sutur og plastik på aortabuen
KFCB00	Sutur af aortabuen
KFCB10	Rekonstruktion af aortabuen med deling og sutur
KFCB20	Resektion og sutur af aortabuen
KFCB30	Rekonstruktion af aortabuen med patch
KFCB32	Perkutan transluminal plastik på aortabuen
KFCB35	Perkutan transluminal plastik med indsættelse af stent i aortabuen
KFCB40	Resektion og rekonstruktion af aortabuen med rørprotese
KFCB50	Resektion af aortabuen med reimplantation af sidegrene
KFCB80	Fjernelse af fremmedlegeme fra aortabuen
KFCB82	Perdutan transluminal fjernelse af fremmedlegeme fra aortabuen
KFCB96	Anden sutur eller plastik på aortabuen
KFCC	Sutur og plastik på intratorakale aorta descendens
KFCC00	Sutur af intratorakale aorta descendens
KFCC10	Rekonstruktion af intratorakale aorta descendens med deling og sutur
KFCC30	Resektion og sutur af intratorakale aorta descendens
KFCC40	Rekonstruktion af intratorakale aorta descendens med patch
KFCC42	Perkutan transluminal plastik på intratorakale aorta descendens
KFCC45	Perkutan transluminal plastik med indsættelse af stent i intratorakale aorta descendens
KFCC50	Resektion og rekonstruktion af intratorakale aorta descendens med rørprotese
KFCC60	Resektion af intratorakale aorta descendens med implantation af sidegrene
KFCC70	Bypass til intratorakale aorta descendens med rørprotese
KFCC76	Bypass til aorta torakoabdominalis med rørprotese
KFCC80	Fjernelse af fremmedlegeme fra intratorakale aorta descendens
KFCC82	Perkutan transluminal fjernelse af fremmedlegeme fra intratorakale aorta descendens
KFCC96	Anden sutur eller plastik på intratorakale aorta descendens
KFCD	Sutur og plastik på torakoabdominale aorta
KFCD00	Sutur af torakoabdominale aorta
KFCD10	Forstærkning af torakoabdominale aorta med sutur
KFCD30	Rekonstruktion af torakoabdominale aorta med patch
KFCD35	Perkutan transluminal indsættelse af stent i torakoabdominale aorta
KFCD40	Resektion og sutur af torakoabdominale aorta
KFCD50	Resektion og rekonstruktion af torakoabdominale aorta med rørprotese
KFCD60	Resektion af torakoabdominale aorta og reimplantation af sidegrene
KFCD70	Bypass af torakoabdominale aorta med rørprotese
KFCD80	Fjernelse af fremmedlegeme fra torakoabdominale aorta
KFCD82	Perkutan transluminal fjernelse af fremmedlegeme fra torakoabdominale aorta
KFCD96	Anden sutur eller plastik på torakoabdominale aorta
KFCE	Lukninger af erhvervet aortafistel
KFCE00	Lukning af rumperet erhvervet aneurisme i sinus Valsalvae
KFCE10	Lukning af erhvervet aortovenøs fistel
KFCE12	Perkutan transluminal lukning af erhvervet aortovenøs fistel
KFCE20	Lukning af erhvervet aortopulmonal fistel
KFCE22	Perkutan transluminal lukning af erhvervet aortopulmonal fistel
KFCE30	Lukning af erhvervet aortobronkial fistel
KFCE33	Lukning af erhvervet aortokardiel fistel
KFCE40	Lukning af erhvervet aortoenterisk fistel
KFCE96	Anden lukning af erhvervet aortafistel
KFCW	Andre operationer på intratorakale og torakoabdominale aorta
KFCW22	Perkutan transluminal fenestrering på intratorakale aorta descendens
KFCW96	Anden operation på intratorakale eller torakoabdominale aorta
KFD	Operationer for misdannelser af torakale aorta og dens grene
KFDA	Operationer for hypoplastisk venstre hjertesyndrom (HLHS)
KFDA00	Aortaplastik og aortopulmonal anastomose ved HLHS
KFDA10	Aortaplastik og ventrikulopulmonal anastomose ved HLHS
KFDA96	Anden operation for HLHS
KFDB	Operationer for transposition af de store arterier (TGA)
KFDB03	Arteriel switch operation for TGA
KFDB20	Arteriel switch operation for anden medfødt hjertemisdannelse
KFDB96	Anden operation for transposition af de store arterier
KFDC	Operation for truncus arteriosus persistens
KFDC00	Operation for truncus arteriosus persistens med enkel protese fra højre ventrikel til arteria pulmonalis
KFDC10	Operation for truncus arteriosus persistens med klapprotese
KFDC20	Operation for truncus arteriosus persistens med anastomose fra højre ventrikel til arteria pulmonalis
KFDC96	Anden korrektion af truncus arteriosus persistens
KFDD	Lukninger af kongenit fistel fra aorta
KFDD00	Lukning af aortoventrikulær tunnel
KFDD10	Ligatur af aortopulmonalt vindue
KFDD13	Lukning af aortopulmonalt vindue med sutur
KFDD20	Lukning af aortopulmonalt vindue med patch
KFDD96	Anden operation for kongenit fistel fra aorta
KFDE	Lukninger af ductus arteriosus persistens
KFDE00	Lukning af ductus arteriosus persistens hos præmaturt barn
KFDE10	Ligatur af ductus arteriosus persistens
KFDE20	Deling af ductus arteriosus persistens
KFDE30	Torakoskopisk lukning af ductus arteriosus persistens
KFDE32	Perkutan transluminal lukning af ductus arteriosus persistens
KFDE96	Anden operation ved ductus arteriosus persistens
KFDF	Lukninger af aortopulmonale kollateraler
KFDF00	Lukning af aortopulmonale kollateraler
KFDF05	Perkutan transluminal lukning af aortopulmonale kollateraler
KFDG	Operationer ved supravalvulær aortastenose
KFDG00	Rekonstruktion af aorta ascendens ved supravalvulær aortastenose
KFDG10	Rekonstruktion af aorta ascendens med patch ved supravalvulær aortastenose
KFDG96	Anden operation ved supravalvulær aortastenose
KFDH	Operationer ved hypoplasi og atresi af arcus aortae (IAA)
KFDH00	End-to-end rekonstruktion af arcus aortae ved IAA eller hypoplasi
KFDH10	Rekonstruktion af arcus aortae med patch ved IAA eller hypoplasi
KFDH30	Rekonstruktion af arcus aortae med rørprotese ved IAA eller hypoplasi
KFDH40	Rekonstruktion af arcus aortae med bypass ved IAA eller hypoplasi
KFDH96	Anden operation ved IAA eller hypoplasi
KFDJ	Operationer ved coarctatio aortae
KFDJ00	End-to-end rekonstruktion af aorta ved coarctatio aortae
KFDJ10	Angioplastik ved coarctatio aortae med anvendelse af arteria subclavia eller arteria carotis
KFDJ20	Angioplastik ved coarctatio aortae med anvendelse af patch
KFDJ30	Rekonstruktion med rørprotese ved coarctatio aortae
KFDJ40	Dilatation af coarctatio aortae med ballon
KFDJ42	Perkutan transluminal angioplastik ved coarctatio aortae
KFDJ45	Perkutan transluminal angioplastik ved coarctatio aortae med indlæggelse af stent
KFDJ96	Anden operation ved coarctatio aortae
KFDM	Operationer ved vaskulær ring på aortabuen
KFDM00	Deling af dobbelt aortabue
KFDM10	Deling af anden vaskulær ring på aortabuen
KFDM11	Torakoskopisk deling af anden vaskulær ring på aortabuen
KFDM20	Transposition af arteriel karslynge
KFDM96	Anden operation for vaskulær ring på aortabuen
KFDN	Passageoperationer på ductus arteriosus
KFDN02	Perkutan transluminal indsættelse af stent i ductus arteriosus
KFDW	Andre operationer for misdannelser af intratorakale og torakoabdominale aorta
KFDW96	Anden operation for misdannelser af torakale aorta og dens grene
KFE	Operationer på perikardie
KFEA	Lukket ekstern drænage af perikardie
KFEA00	Lukket ekstern drænage af perikardie
KFEB	Perikardiotomier
KFEB00	Eksploration af perikardie
KFEB10	Dekompression og drænage af perikardie
KFEB51	Torakoskopisk perikardiotomi
KFEB96	Anden perikardiotomi
KFEC	Interne perikardiostomier
KFEC00	Perikardiopleurostomi
KFEC01	Torakoskopisk perikardiopleurostomi
KFEC10	Perikardioperitoneostomi
KFEC96	Anden intern perikardiostomi
KFED	Operationer ved læsion på perikardie
KFED00	Sutur af perikardie
KFED03	Rekonstruktion af perikardie med anvendelse af transplantat
KFED10	Sutur af perikardie og diafragma
KFED96	Anden operation ved læsion på perikardie
KFEE	Biopsier og excisioner af patologisk væv i perikardie
KFEE00	Biopsi af perikardie
KFEE01	Torakoskopisk biopsi af perikardie
KFEE10	Excision af patologisk væv i perikardie
KFEE96	Anden biopsi eller excision af patologisk væv i perikardie
KFEF	Resektioner af perikardie
KFEF00	Resektion af perikardie
KFEF10	Subtotal perikardiektomi
KFEF20	Perikardiektomi med dekortikation
KFEF31	Torakoskopisk perikardiektomi
KFEF96	Anden resektion af perikardie
KFEW	Andre operationer på perikardie
KFEW96	Anden operation på perikardie
KFF	Operationer på atrier, atrieseptum og lungevener
KFFA	Biopsier og excisioner af patologisk væv i atrie
KFFA00	Biopsi af atrie
KFFA02	Perkutan transluminal biopsi af atrie
KFFA10	Excision af patologisk væv i atrie
KFFA20	Excision af trombe i atrie
KFFA30	Fjernelse af fremmedlegeme i atrie
KFFA32	Perkutan transluminal fjernelse af fremmedlegeme i atrie
KFFA96	Anden biopsi eller excision af patologisk væv i atrie
KFFB	Operationer ved læsion af atrie
KFFB00	Sutur af atrie
KFFB10	Rekonstruktion af atrie
KFFB96	Anden operation ved læsion af atrie
KFFC	Operationer ved isoleret atrieseptumdefekt
KFFC00	Sutur af ASD, secundum type
KFFC10	Sutur af ASD, sinus venosus type
KFFC22	Perkutan transluminal sutur af ASD, secundum type
KFFC32	Perkutan transluminal sutur af ASD, sinus venosus type
KFFC42	Perkutan transluminal device-lukning af persisterende foramen ovale (PFO)
KFFC50	Lukning af ASD, secundum type, med anvendelse af transplantat
KFFC60	Lukning af ASD, sinus venosus type, med anvendelse af transplantat
KFFC96	Anden operation ved isoleret ASD
KFFD	Operationer ved partiel atrioventrikulær septumdefekt
KFFD00	Sutur af partiel atrioventrikulær septumdefekt
KFFD20	Lukning af partiel atrioventrikulær septumdefekt med anvendelse af transplantat
KFFD96	Anden operation ved partiel atrioventrikulær septumdefekt
KFFE	Anlæggelser og udvidelser af atrieseptumdefekt
KFFE00	Lukket atrieseptostomi
KFFE02	Perkutan transluminal atrioseptostomi
KFFE02A	Perkutan transluminal atrioseptostomi med ballon
KFFE02B	Perkutan transluminal atrioseptostomi med blade-teknik
KFFE10	Åben atrioseptostomi eller udvidelse af ASD
KFFE96	Anden atrioseptostomi eller udvidelse af ASD
KFFF	Operationer for partielt anomale lungevener
KFFF00	Transposition ved partielt anomale lungevener med anvendelse af intraatriel patch
KFFF10	Atrieseptostomi eller udvidelse af ASD og transposition ved partielt anomale lungevener med anvendelse af intraatriel patch
KFFF20	Anastomose til venstre atrie fra partielt anomale lungevener
KFFF96	Anden operation ved partielt anomale lungevener
KFFG	Korrektioner af totalt anomale lungevener
KFFG00	Operation for suprakardiel TAPVD
KFFG10	Operation for TAPVD af kardiel type
KFFG20	Operation for infrakardiel TAPVD
KFFG30	Operation for TAPVD af blandet type
KFFG96	Anden operation ved totalt anomale lungevener
KFFH	Operationer for lungevenestenose
KFFH00	Operation ved primær lungevenestenose
KFFH10	Operation ved tidligere korrigeret TAPVD
KFFH22	Perkutan transluminal plastik på lungevene
KFFH25	Perkutan transluminal plastik på lungevene med indlæggelse af stent
KFFH96	Anden operation for lungevenestenose
KFFJ	Intraatrielle transpositioner af venøst tilbageløb
KFFJ00	Intraatriel transposition med anvendelse af atrievæg
KFFJ10	Intraatriel transposition med anvendelse af atriel patch
KFFJ96	Anden intraatriel transpositionsoperation
KFFK	Atrielle anastomoseoperationer
KFFK10	Atrioventrikulær anastomose
KFFK20	Atriopulmonal anastomose
KFFK96	Anden atriel anastomoseoperation
KFFL	Rekonstruktion ved cor triatriatum
KFFL00	Resektion af intraatriel membran
KFFL10	Resektion af intraatriel membran og lukning af ASD
KFFL96	Anden operation ved cor triatriatum
KFFW	Andre operationer på atrierne
KFFW96	Anden operation på atrie
KFFW98	Anden specificeret perkutan transluminal operation på atrie
KFFW98A	Perkutan venstre atrieaurikel transkateter okklusion (PLAATO)
KFG	Operationer på trikuspidalklap
KFGA	Operationer ved trikuspidalklapstenose
KFGA00	Kommisurotomi på trikuspidalklap ved kongenit misdannelse
KFGA10	Kommisurotomi på trikuspidalklap ved erhvervet stenose
KFGA32	Perkutan transluminal udvidelse af triskuspidalklapstenose
KFGA96	Anden operation ved trikuspidalstenose
KFGB	Operationer ved Ebsteins anomali
KFGB00	Operation ved Ebsteins anomali med atrioventrikulær plikatur
KFGB10	Operation ved Ebsteins anomali med mobilisering og ventrikulær plikatur
KFGB96	Anden operation ved Ebsteins anomali
KFGC	Annuloplastikker ved trikuspidalinsufficiens
KFGC00	Annuloplastik af trikuspidalklap med sutur
KFGC10	Annuloplastik af trikuspidalklap med ring
KFGC96	Anden operation ved trikuspidalinsufficiens
KFGD	Rekonstruktion af trikuspidalklap ved insufficiens
KFGD00	Rekonstruktion af trikuspidalklap med sutur
KFGD03	Sutur af trikuspidalsplit
KFGD10	Rekonstruktion af trikuspidalklap med anvendelse af patch
KFGD30	Rekonstruktion af trikuspidalklap med sutur af papilmuskel eller chorda
KFGD40	Rekonstruktion af trikuspidalklap med kunstig chorda
KFGD96	Anden rekonstruktion af trikuspidalklap ved insufficiens
KFGE	Indsættelse af trikuspidalklapprotese
KFGE00	Indsættelse af mekanisk trikuspidalklapprotese
KFGE10	Indsættelse af biologisk trikuspidalklapprotese
KFGE20	Indsættelse af trikuspidalklaphomograft
KFGE96	Anden indsættelse af trikuspidalklapprotese
KFGW	Andre operationer på trikuspidalklap
KFGW96	Anden operation på trikuspidalklap
KFH	Operationer på ventrikelseptum
KFHA	Lukninger af erhvervet ventrikelseptumdefekt
KFHA00	Lukning af VSR efter læsion
KFHA10	Lukning af VSR efter anteroseptalt infarkt
KFHA20	Lukning af VSR efter posteroseptalt infarkt
KFHA96	Anden lukning af erhvervet ventrikelseptumdefekt
KFHB	Lukninger af medfødt ventrikelseptumdefekt
KFHB00	Transatriel sutur af VSD
KFHB10	Transventrikulær sutur af VSD
KFHB20	Transpulmonal sutur af VSD
KFHB30	Transaortal sutur af VSD
KFHB40	Intraoperativ transluminal lukning af ventrikelseptumdefekt
KFHB42	Perkutan transluminal lukning af ventrikelseptumdefekt
KFHB50	Transatriel lukning af VSD med anvendelse af patch
KFHB60	Transventrikulær lukning af VSD med anvendelse af patch
KFHB70	Transpulmonal lukning af VSD med anvendelse af patch
KFHB80	Transaortal lukning af VSD med anvendelse af patch
KFHB96	Anden lukning af medfødt ventrikelseptumdefekt
KFHC	Lukninger af multiple medfødte ventrikelseptumdefekter
KFHC00	Transatriel lukning af multiple medfødte ventrikelseptumdefekter
KFHC10	Lukning af multiple medfødte ventrikelseptumdefekter gennem højre ventrikulotomi
KFHC20	Lukning af multiple medfødte ventrikelseptumdefekter gennem venstre ventrikulotomi
KFHC30	Lukning af multiple medfødte ventrikelseptumdefekter ved kombineret atriotomi og ventrikulotomi
KFHC96	Anden lukning af multiple medfødte ventrikelseptumdefekter
KFHD	Operationer ved komplet atrioventrikulær septumdefekt
KFHD00	Operation for komplet atrioventrikulær septumdefekt med anvendelse af atrioventrikulær patch
KFHD03	Operation for komplet atrioventrikulær septumdefekt med atriel patch og sutur af ventrikelseptumdefekt
KFHD10	Operation for komplet atrioventrikulær septumdefekt med anvendelse af 2-patch-teknik
KFHD30	Operation for komplet atrioventrikulær septumdefekt med samtidig resektion af pulmonalstenose
KFHD96	Anden operation ved komplet atrioventrikulær septumdefekt
KFHE	Operationer ved Fallots tetrade
KFHE00	Transatriel korrektion af Fallots tetrade
KFHE10	Transventrikulær korrektion af Fallots tetrade
KFHE20	Transventrikulær korrektion af Fallots tetrade med anvendelse af udløbspatch
KFHE30	Korrektion af Fallots tetrade med anvendelse af transannulær patch
KFHE40	Korrektion af Fallots tetrade med ventrikulopulmonal protese eller homograft
KFHE96	Anden operation ved Fallots tetrade
KFHF	Operationer ved pulmonal atresi
KFHF00	Operation for pulmonal atresi med anvendelse af transannulær patch
KFHF10	Operation for pulmonal atresi med ventrikulopulmonal protese eller homograft
KFHF20	Operation for pulmonal atresi med anvendelse af transannulær patch og lukning af VSD
KFHF30	Operation for pulmonal atresi med ventrikulopulmonal protese og lukning af VSD
KFHF96	Anden operation ved pulmonal atresi
KFHG	Lukninger af ventrikelseptumdefekt med samtidig intraventrikulær transposition ved 'double outlet ventricle'
KFHG00	Korrektion af DOLV
KFHG10	Korrektion af DORV
KFHG20	Intraventrikulær switch operation med ekstraventrikulær anastomose
KFHG96	Anden operation ved double outlet ventricle
KFHH	Ventrikuloseptostomier og udvidelser af ventrikelseptumdefekt
KFHH00	Udvidelse af VSD ved univentrikulært hjerte
KFHH10	Udvidelse af VSD ved double outlet ventricle
KFHH20	Fenestrering af VSD patch
KFHH96	Anden ventrikuloseptostomi eller udvidelse af VSD
KFHJ	Konstruktioner af septum ved univentrikulært hjerte
KFHJ00	Konstruktion af ventrikelseptum ved univentrikulært hjerte med anvendelse af patch
KFHJ10	Konstruktion af ventrikelseptum ved univentrikulært hjerte med anvendelse af fenestreret patch
KFHJ96	Anden konstruktion af septum ved univentrikulært hjerte
KFHW	Andre operationer på ventrikelseptum
KFHW96	Anden operation på ventrikelseptum
KFJ	Operationer på højre ventrikel og pulmonalklap
KFJA	Biopsier af højre ventrikel
KFJA00	Biopsi af højre ventrikel
KFJA12	Perkutan transluminal biopsi af højre ventrikel
KFJA96	Anden biopsi af højre ventrikel
KFJB	Operationer ved læsion af højre ventrikel
KFJB00	Sutur ved læsion af højre ventrikel
KFJB10	Operation ved læsion af højre ventrikel med anvendelse af transplantat
KFJB96	Anden operation ved læsion af højre ventrikel
KFJC	Excisioner af patologisk væv i højre ventrikel
KFJC00	Excision af patologisk væv i højre ventrikel
KFJC10	Fjernelse af fremmedlegeme i højre ventrikel
KFJC12	Perkutan transluminal fjernelse af fremmedlegeme i højre ventrikel
KFJD	Operationer på højre ventrikels udløb ved medfødt eller erhvervet obstruktion
KFJD00	Resektion af fibromuskulær infundibulær pulmonalstenose
KFJD10	Udvidelse af højre ventrikel med anvendelse af patch
KFJD20	Bypass af pulmonalklap med ventrikulopulmonal protese eller homograft
KFJD96	Anden operation på højre ventrikels udløb ved medfødt eller erhvervet obstruktion
KFJE	Operationer for isoleret pulmonalklapstenose
KFJE00	Dilatation af pulmonalklap ved stenose
KFJE10	Valvulotomi på pulmonalklap
KFJE20	Excision af pulmonalklap og udvidelse af annulus pulmonalis med anvendelse af patch
KFJE30	Transannulær pulmonal patch med anvendelse af monokuspidal klap
KFJE42	Perkutan transluminal udvidelse af pulmonalklap ved stenose
KFJE96	Anden operation for isoleret pulmonalklapstenose
KFJF	Indsættelser af pulmonalklapprotese
KFJF00	Indsættelse af mekanisk pulmonalklapprotese
KFJF10	Indsættelse af biologisk pulmonalklapprotese
KFJF20	Indsættelse af pulmonalklaphomograft
KFJF30	Perkutan indsættelse af biologisk pulmonalstentklapprotese
KFJF96	Anden indsættelse af pulmonalklapprotese
KFJW	Andre operationer på højre ventrikel og pulmonalklap
KFJW96	Anden operation på højre ventrikel og pulmonalklap
KFK	Operationer på mitralklap
KFKA	Operationer ved mitralklapstenose
KFKA00	Kommisurotomi på mitralklap
KFKA10	Kommisurotomi på mitralklap med dekalcifikation
KFKA20	Kommisurotomi på mitralklap og spaltning af sammenvoksede chordae
KFKA32	Perkutan transluminal udvidelse ved mitralklapstenose
KFKA96	Anden operation ved mitralklapstenose
KFKB	Annuloplastikker ved mitralklapinsufficiens
KFKB00	Annuloplastik ved mitralklapinsufficiens med sutur
KFKB10	Annuloplastik ved mitralklapinsufficiens med anvendelse af ring
KFKB96	Anden annuloplastik ved mitralklapinsufficiens
KFKC	Operationer på mitralklap ved insufficiens
KFKC00	Sutur af mitralklap ved insufficiens
KFKC10	Sutur af split på mitralklap
KFKC20	Plastik på mitralklapsejl ved insufficiens
KFKC30	Forkortning eller forlængelse af mitralklapschorda
KFKC40	Sutur af chorda eller papillærmuskel på mitralklap
KFKC50	Indsættelse af kunstige chordae på mitralklap ved insufficiens
KFKC60	Resektion og rekonstruktion af mitralklapsejl ved insufficiens
KFKC70	Perkutant kateterbaseret indgreb ved mitralinsufficiens
KFKC70A	Perkutan transseptal indsættelse af mitralclip
KFKC96	Anden operation på mitralklap ved insufficiens
KFKD	Indsættelser af mitralklapprotese
KFKD00	Indsættelse af mekanisk mitralklapprotese
KFKD10	Indsættelse af biologisk mitralklapprotese
KFKD20	Indsættelse af mitralklaphomograft
KFKD96	Anden indsættelse af mitralklapprotese
KFKH	Operationer ved tilstedeværende kunstig mitralklap
KFKH10	Perkutan transluminal lukning af utæthed ved kunstig mitralklap
KFKW	Andre operationer på mitralklap
KFKW96	Anden operation på mitralklap
KFL	Operationer på venstre ventrikel
KFLA	Biopsier af venstre ventrikel
KFLA00	Biopsi af venstre ventrikel
KFLA12	Perkutan transluminal biopsi af venstre ventrikel
KFLA96	Anden biopsi af venstre ventrikel
KFLB	Excisioner af patologisk væv i venstre ventrikel
KFLB00	Excision af patologisk væv i venstre ventrikel
KFLB10	Fjernelse af fremmedlegeme i venstre ventrikel
KFLB12	Perkutan transluminal fjernelse af fremmedlegeme i venstre ventrikel
KFLC	Operationer ved læsion af venstre ventrikel
KFLC00	Sutur ved læsion af venstre ventrikel
KFLC10	Operation ved læsion af venstre ventrikel med anvendelse af patch
KFLC96	Anden operation ved læsion af venstre ventrikel
KFLD	Udvidelser og reduktioner af venstre ventrikel
KFLD00	Plikatur af aneurisme i venstre ventrikel
KFLD10	Resektion af aneurisme i venstre ventrikel
KFLD20	Resektion og rekonstruktion med patch ved aneurisme i venstre ventrikel
KFLD30	Resektion af venstre ventrikel
KFLD50	Ekspansionsplastik på venstre ventrikel
KFLD96	Anden udvidelse eller reduktion af venstre ventrikel
KFLE	Operationer ved udløbsobstruktion i venstre ventrikel
KFLE00	Excision af subvalvulær membran i venstre ventrikel
KFLE10	Myotomi eller myektomi ved udløbsobstruktion i venstre ventrikel
KFLE20	Myotomi eller myektomi ved udløbsobstruktion i venstre ventrikel med anvendelse af patch fra ventrikelseptum
KFLE32	Perkutan transkoronar destruktion af myokardie ved udløbsobstruktion i venstre ventrikel
KFLE96	Anden operation ved udløbsobstruktion i venstre ventrikel
KFLF	Transmyokardiel laserrevaskulariseringer fra venstre ventrikel
KFLF00	Transmyokardiel laserrevaskularisering fra venstre ventrikel
KFLF12	Perkutan transmyokardiel laserrevaskularisering fra venstre ventrikel
KFLW	Andre operationer på venstre ventrikel
KFLW96	Anden operation på venstre ventrikel
KFM	Operationer på aortaklap
KFMA	Operationer ved aortaklapstenose
KFMA00	Dilatation af aortaklap ved stenose
KFMA10	Kommisurotomi på aortaklap
KFMA20	Valvuloplastik på aortaklap
KFMA32	Perkutan transluminal udvidelse af aortaklap
KFMA96	Anden operation ved aortaklapstenose
KFMB	Udvidelser af aortaostiet
KFMB00	Supravalvulær udvidelse af aorta med anvendelse af patch
KFMB10	Transannulær udvidelse af aortaostiet
KFMB20	Aortoseptal udvidelse af aortaostiet
KFMB96	Anden udvidelse af aortaostiet
KFMC	Operationer på aortaklap ved insufficiens
KFMC00	Annuloplastik på aortaklap
KFMC10	Reduktion af aortaklapsejl
KFMC20	Sutur af aortaklapsejl
KFMC96	Anden operation på aortaklap ved insufficiens
KFMD	Indsættelse af aortaklapprotese
KFMD00	Indsættelse af mekanisk aortaklapprotese
KFMD10	Indsættelse af biologisk aortaklapprotese
KFMD11	Transapikal indsættelse af biologisk aortaklapprotese
KFMD12	Transaortal TAVI (transkateter aortaklap implantation)
KFMD12A	Transaortal TAVI (transkateter aortaklap implantation) gennem ministernotomi
KFMD12B	Transaortal TAVI (transkateter aortaklap implantation) gennem minitorakotomi
KFMD14	Perkutan indsættelse af biologisk aortaklapprotese
KFMD20	Indsættelse af aortaklaphomograft
KFMD30	Rekonstruktion af aortarod med homograft og koronar reimplantation
KFMD33	Rekonstruktion af aortarod med xenograft og koronar reimplantation
KFMD40	Rekonstruktion af aortarod med pulmonal autograft og koronar reimplantation
KFMD96	Anden indsættelse af aortaklapprotese
KFMH	Operationer ved tilstedeværende kunstig aortaklap
KFMH10	Perkutan transluminal lukning af utæthed ved kunstig aortaklap
KFMW	Andre operationer på aortaklap
KFMW96	Anden operation på aortaklap
KFN	Operationer på koronararterier
KFNA	Anastomoseoperationer mellem arteria mammaria interna og koronararterie
KFNA00	Anastomose mellem arteria mammaria interna og koronararterie
KFNA10	Sekventielle anastomoser mellem arteria mammaria interna og koronararterie
KFNA20	Anastomoser mellem bilaterale arteriae mammariae internae og koronararterie
KFNA96	Anden anastomoseoperation mellem arteria mammaria interna og koronararterie
KFNB	Anastomoseoperationer mellem arteria gastroepiploica og koronararterie
KFNB00	Anastomose mellem arteria gastroepiploica og koronararterie
KFNB20	Sekventielle anastomoser mellem arteria gastroepiploica og koronararterie
KFNB96	Anden anastomoseoperation mellem arteria gastroepiploica og koronarearterie
KFNC	Aortokoronare bypass-operationer
KFNC10	Aortokoronar bypass med enkelt distal anastomose
KFNC20	Aortokoronar bypass med to distale anastomoser
KFNC30	Aortokoronar bypass med tre distale anastomoser
KFNC40	Aortokoronar bypass med fire distale anastomoser
KFNC50	Aortokoronar bypass med fem distale anastomoser
KFNC60	Aortokoronar bypass med seks distale anastomoser
KFNC96	Anden aortokoronar bypass-operation
KFND	Aortokoronare bypass-operationer med protese
KFND10	Aortokoronar bypass med enkelt protese
KFND20	Aortokoronar bypass med to proteser
KFND96	Anden aortokoronar bypass-operation med protese
KFNE	Koronare bypass-operationer med anvendelse af frit arterietransplantat
KFNE00	Koronar bypass med anvendelse af frit arterietransplantat fra arteria mammaria interna
KFNE10	Koronar bypass med anvendelse af frit arterietransplantat fra arteria gastroepiploica
KFNE20	Koronar bypass med anvendelse af frit arterietransplantat fra arteria radialis
KFNE96	Anden koronar bypass-operation med anvendelse af frit arterietransplantat
KFNF	Koronare trombendarterektomier
KFNF00	Trombendarterektomi i højre koronararterie
KFNF10	Trombendarterektomi i ramus descendens anterior fra højre koronararterie
KFNF20	Trombendarterektomi i ramus circumflexus fra højre koronararterie
KFNF30	Trombendarterektomi i venstre koronararteries hovedstamme
KFNF96	Anden koronar trombendarterektomi
KFNG	Udvidelser og rekanaliseringer af koronararterie
KFNG00	Udvidelse af koronararterie
KFNG02	Perkutan transluminal plastik på koronararterie (PTCA)
KFNG02A	Primær perkutan transluminal plastik på koronararterie (PTCA)
KFNG05	Perkutan transluminal plastik på koronararterie (PTCA) med indsættelse af stent
KFNG05A	Primær perkutan transluminal plastik på koronararterie (PTCA) med indsættelse af stent
KFNG10	Embolektomi på koronararterie
KFNG12	Perkutan transluminal embolektomi på koronararterie
KFNG20	Fjernelse af fremmedlegeme i koronararterie
KFNG22	Perkutan transluminal fjernelse af fremmedlegeme i koronararterie
KFNG30	Udvidelse af koronararterie med anvendelse af patch
KFNG40	Laserbehandling af koronararterie
KFNG96	Anden udvidelse eller rekanalisering af koronararterie
KFNH	Rekonstruktioner af koronararterie
KFNH00	Sutur af koronararterie
KFNH10	Rekonstruktion af koronararterie med anvendelse af patch
KFNH20	Rekonstruktion af koronararterie med bypass
KFNH96	Anden rekonstruktion af koronararterie
KFNJ	Lukninger af anomal koronararterie og koronarfistel
KFNJ00	Ligatur af anomal koronararterie
KFNJ02	Perkutan transluminal lukning af anomal koronararterie
KFNJ10	Lukning af koronarfistel
KFNJ12	Perkutan transluminal lukning af koronarfistel
KFNJ96	Anden lukning af anomal koronararterie eller koronarfistel
KFNK	Rekonstruktioner ved anomal koronararterieafgang
KFNK00	Transposition af koronararterie
KFNK10	Pulmonalarterieplastik med anastomose til aorta
KFNK20	Ligatur og rekonstruktionsbypass ved anomal koronararterie
KFNK96	Anden operation ved anomal koronararterieafgang
KFNW	Andre operationer på koronararterie
KFNW96	Anden operation på koronaraterie
KFNW98	Anden angioskopisk operation på koronararterie
KFP	Operationer ved hjertearytmier og ledningsforstyrrelser
KFPA	Operationer for supraventrikulær arytmi
KFPA00	Deling af anteroseptal ledningsgren ved supraventrikulær arytmi
KFPA10	Deling af posteroseptal ledningsgren ved supraventrikulær arytmi
KFPA20	Deling af højresidig ledningsgren ved supraventrikulær arytmi
KFPA30	Deling af venstresidig ledningsgren ved supraventrikulær arytmi
KFPA40	Deling af flere ledningsgrene ved supraventrikulær arytmi
KFPA96	Anden operation for supraventrikulær arytmi
