Kode	Tekst
BJKF	Pædagogiske handlinger vedrørende fertilitet
BJKF0	Vejledning vedrørende fertilitetsbehandling
BJKF1	Rådgivning vedrørende fertilitet/infertilitet
BJKY	Pædagogiske handlinger ved behandling af urin- og kønsorganer ikke klassificeret andetsteds
BJKY0	Vejledning i urinopsamling
BJKY1	Vejledning i pleje af urostomi
BJL	Soignering m.m. i relation til urinveje og kønsorganer
BJLA	Soignering af kateter og urostomi
BJLA0	Soignering af blærekateter
BJLA1	Soignering af urostomi
BJLA10	Soignering af cystostomi
BJLA11	Soignering af ureterostomi
BJLA12	Soignering af urethrastomi
BJLA13	Soignering af nefrostomi
BJLA14	Soignering af urinafledende enterostomi
BJLC	Skylning af vagina
BJLC0	Vaginalskylning
BJLD	Soignering af vaginalring
BJM	Interventioner ved vandladning og urinudtømning gennem urostomi
BJMC	Kompenserende handling mhp. urinudtømning
BJMC0	Kompenserende handling mhp. anvendelse af hjælpemiddel ved vandladning
BJMC00	Kompenserende handling mhp. anvendelse af uridom
BJMC01	Kompenserende handling mhp. anvendelse af dryppose
BJMC02	Kompenserende handling mhp. anvendelse af urinpose
BJMC03	Kompenserende handling mhp. anvendelse af uretraprop
BJML	Pleje af urostomi
BJMZ	Delprocedurer ved behandling og pleje af urostomi
BJMZ0	Påsætning af urostomipose
BJMZ00	Påsætning af cystostomipose
BJMZ01	Påsætning af nefrostomipose
BJMZ02	Påsætning af ureterostomipose
BJMZ03	Påsætning af urethrastomipose
BJMZ04	Påsætning af pose på urinafledende enterostomi
BJMZ1	Skiftning af urostomipose
BJMZ10	Skiftning af cystostomipose
BJMZ11	Skiftning af nefrostomipose
BJMZ12	Skiftning af ureterostomipose
BJMZ13	Skiftning af urethrastomipose
BJMZ14	Skiftning af pose på urinafledende enterostomi
BJMZ2	Fjernelse af urostomipose
BJMZ20	Fjernelse af cystostomipose
BJMZ21	Fjernelse af nefrostomipose
BJMZ22	Fjernelse af ureterostomipose
BJMZ23	Fjernelse af urethrastomipose
BJMZ24	Fjernelse af pose på urinafledende enterostomi
BJV	Pleje ved lidelse i nyrer, urinveje og kønsorganer
BJVA	Generel pleje ved lidelse i nyrer, urinveje og kønsorganer
BJVB	Speciel pleje ved lidelse i nyrer, urinveje og kønsorganer
BJX	Andre interventioner med relation til urinveje og kønsorganer
BJXA	Specificeret intervention med relation til urinveje og kønsorganer
BJXA0	Blæreskylning
BJXA1	Nervestimulation af urinblæren
BJXA11	Transkutan nervestimulation af urinblæren
BJXA12	Perkutan nervestimulation af urinblæren
BJXA2	Behandling af hydrocele
BJXA20	Aspiratio hydrocelis testis
BJXA21	Sclerosering hydrocelis testis
BJXA5	Pleje af kunstig vagina
BJXA6	Behandling af lidelser i tuba uterina
BJXA60	Persufflatio tubae uterinae
BJXA61	Instillatio tubae uterinae
BJXA9	Delprocedurer ved procedurer i urinveje og kønsorganer
BJXA91	Delprocedurer ved procedurer i urinblæren
BJXA910	Opfyldning af urinblæren
BJXB	Injektionsbehandling med relation til urinveje og kønsorganer
BJXB0	Injektion af collagenase i Peyronies plaque
BJXY	Procedure med relation til urinveje og kønsorganer ikke klassificeret andetsteds
BJXY0	Gynækologisk procedure ikke klassificeret andetsteds
BJXY5	Procedure med relation til kønsorganer ikke klassificeret andetsteds
BJXY50	Høst af sæd
BJXY51	Nedfrysning af ovarievæv (kryopreservering)
BJXY52	Nedfrysning af testisvæv (kryopræservering)
BK	Graviditet og fødsel
BKH	Medikamentel behandling under graviditet, fødsel og barsel
BKHA	Profylaktisk medikamentel behandling under graviditet, fødsel og barsel
BKHA1	Behandling med progesteron under graviditet, fødsel og barsel
BKHA2	Behandling med intravenøs magnesiumsulfat under graviditet, fødsel og barsel
BKHD	Behandling med uteruskontraherende middel
BKHD0	Behandling med uteruskontraherende middel efter fødsel
BKHD2	Medicinsk igangsættelse af fødsel
BKHD20	Medicinsk igangsættelse af fødsel med prostaglandin
BKHD20A	Medicinsk igangsættelse af fødsel med misoprostol
BKHD21	Partus provocatus medicamentalis med oxytocin
BKHD3	Medicinsk vestimulation
BKHD30	Medicinsk vestimulation med prostaglandin
BKHD31	Medicinsk vestimulation med oxytocin
BKHD4	Medicinsk induceret abort
BKHD40	Medicinsk induceret tidlig abort med antiprogesteron
BKHD401	Medicinsk induceret tidlig abort med mifepriston
BKHD401A	Medicinsk induceret tidlig abort med mifepriston 200 mg
BKHD401B	Medicinsk induceret tidlig abort med mifepriston 400 mg
BKHD401C	Medicinsk induceret tidlig abort med mifepriston 600 mg
BKHD41	Medicinsk induceret tidlig abort med prostaglandin
BKHD411	Medicinsk induceret tidlig abort med misoprostol
BKHD411A	Medicinsk induceret tidlig abort med misoprostol 0,2 mg
BKHD411B	Medicinsk induceret tidlig abort med misoprostol 0,2 mg + 0,2 mg
BKHD411C	Medicinsk induceret tidlig abort med misoprostol 0,4 mg
BKHD411D	Medicinsk induceret tidlig abort med misoprostol 0,4 mg + 0,2 mg
BKHD411E	Medicinsk induceret tidlig abort med misoprostol 0,6 mg
BKHD411F	Medicinsk induceret tidlig abort med misoprostol 0,6 mg + 0,2 mg
BKHD411G	Medicinsk induceret tidlig abort med misoprostol 0,8 mg
BKHD44	Medicinsk induceret sen abort med antiprogesteron
BKHD45	Medicinsk induceret sen abort med prostaglandin
BKHD5	Medikamentel behandling efter abort, inkl. 'missed abortion'
BKHD50	Behandling med prostaglandin
BKHD51	Behandling med antiprogesteron
BKHD52	Behandling med antiprogesteron og prostaglandin
BKHD53	Behandling med oxytocin
BKHD54	Behandling med metylergometrin
BKHD8	Anden behandling med uteruskontraherende middel
BKHE	Medikamentel behandling af unormalt forløbende graviditet
BKHE0	Medicinsk behandling af ektopisk graviditet
BKHE1	Medikamentel behandling af eklampsi
BKHE2	Medikamentel behandling af praeeklampsi
BKHE3	Medikamentel behandling af hypertension i graviditeten
BKHE8	Cytostatisk behandling ved ekstrauterin graviditet
BKHE8A	Behandling med methotrexat ved ekstrauterin graviditet (mola)
BKHG	Behandling med vehæmmende middel
BKHG0	Behandling med afslappende medicin
BKHG1	Vehæmmende behandling med beta-2-stimulerende middel
BKHG2	Vehæmmende behandling med NSAID
BKHG3	Vehæmmende behandling med calciumantagonist
BKHG4	Vehæmmende behandling med oxytocinantagonist
BKHH	Behandling med laktationshæmmende middel
BKHI	Behandling af nyfødt med K-vitamin
BKK	Pædagogiske interventioner i forbindelse med graviditet, fødsel og barsel
BKKA	Pædagogiske handlinger i forbindelse med graviditet
BKKA0	Fødselsforberedelse
BKKA01	Forberedelse af fødsel med undervisning
BKKA02	Forberedelse af fødsel med instruktion
BKKA03	Forberedelse af fødsel med afspænding
BKKA04	Forberedelse af fødsel med styrketræning
BKKA05	Forberedelse af fødsel med træning i vand
BKKA2	Forberedelse i særlige forhold ved fødsel i hjemmet
BKKB	Pædagogiske interventioner i forbindelse med fødsel
BKKB0	Vejledning i lejring med henblik på barnets rotation
BKKB1	Hjælp til indtagelse af fødestillinger
BKKB10	Hjælp til indtagelse af fødestilling i fødselsøjeblikket
BKKE	Pædagogiske handlinger i forbindelse med barsel
BKKE1	Pædagogiske handlinger i forbindelse med amning
BKKE10	Vejledning i indtagelse af ammestilling
BKKE11	Vejledning om vedligeholdelse af amning
BKKE12	Vejledning i afvikling af amning
BKKE2	Stimulation m.m. i forbindelse med amning
BKKE20	Stimulering af bryst
BKKE21	Stimulering af sutterefleks
BKKE22	Vejledning og instruktion i anvendelse af suttebrik
BKKE23	Facilitering af suttefunktion
BKKE4	Instruktion ved udmalkning
BKKE40	Instruktion ved manuel udmalkning
BKKE41	Instruktion ved mekanisk udmalkning
BKKE5	Instruktion i barselsgymnastik
BKKE8	Instruktion i pusling af barn
BKKG	Pædagogiske interventioner i forbindelse med abort
BKKG0	Pædagogiske interventioner i forbindelse med spontan abort
BKKG1	Pædagogisk handling i forbindelse med provokeret abort
BKQ	Interventioner med henblik på smertelindring ved fødsel
BKQA	Smertelindring under fødsel ved brug af hjælpemidler
BKQA0	Smertelindring under fødsel ved anbringelse i badekar
BKQA1	Smertelindring under fødsel ved anbringelse i brusebad
BKQA2	Smertelindring under fødsel ved anvendelse af varmepude
BKQA3	Smertelindring under fødsel ved anvendelse af kolde puder
BKQA4	Smertelindring under fødsel ved brug af transkutan nervestimulation
BKQB	Smertelindring under fødsel ved brug af manuel terapi
BKQB0	Smertelindring under fødsel ved brug af massage
BKQD	Andre interventioner med smertelindring ved fødsel
BKQD0	Kontinuerlig tilstedeværelse af jordemoder
BKQD00	Kontinuerlig tilstedeværelse af jordemoder i latent fase
BKQD01	Kontinuerlig tilstedeværelse af jordemoder i aktiv fase
BKQD1	Smertelindring ved hjælp af lejringsændring
BKQD2	Smertelindring ved hjælp af fysisk bevægelse
BKQD3	Smertelindring under fødsel ved brug af vejrtrækning og afslapning
BKU	Kontakter i relation til graviditet og fødsel
BKUA	Graviditetskonsultationer
BKUA1	Graviditetskonsultation ved obstetriker
BKUA1A	Akut graviditetskonsultation ved obstetriker
BKUA1B	Planlagt graviditetskonsultation ved obstetriker
BKUA2	Jordemoderkonsultationer
BKUA21	Basis jordemoderkonsultationer
BKUA21A	Første basis jordemoderkonsultation
BKUA21B	Opfølgende basis jordemoderkonsultationer
BKUA21B1	Opfølgende basis jordemoderkonsultation, individuel
BKUA21B2	Opfølgende basis jordemoderkonsultation, gruppe
BKUA22	Udvidede jordemoderkonsultationer
BKUA22A	Første udvidede jordemoderkonsultationer
BKUA22A0	Første udvidet jordemoderkonsultation, rusmiddelproblematik
BKUA22A1	Første udvidet jordemoderkonsultation, diabetes
BKUA22A2	Første udvidet jordemoderkonsultation, fødselsangst
BKUA22A3	Første udvidet jordemoderkonsultation, overvægtig
BKUA22A4	Første udvidet jordemoderkonsultation, psykisk problemstilling
BKUA22A5	Første udvidet jordemoderkonsultation, sociale problemer
BKUA22A6	Første udvidet jordemoderkonsultation, tidl. perinatalt dødsfald
BKUA22A7	Første udvidet jordemoderkonsultation, flerfold
BKUA22A8	Første udvidet jordemoderkonsultation, ung
BKUA22A9	Første udvidet jordemoderkonsultation, omskåren
BKUA22B	Opfølgende udvidede jordemoderkonsultationer
BKUA22B0	Opfølgende udvidet jordemoderkonsultation, rusmiddelproblematik
BKUA22B1	Opfølgende udvidet jordemoderkonsultation, diabetes
BKUA22B11	Opfølgende udvidet jordemoderkonsultation, diabetes, individuel
BKUA22B12	Opfølgende udvidet jordemoderkonsultation, diabetes, gruppe
BKUA22B2	Opfølgende udvidet jordemoderkonsultation, fødselsangst
BKUA22B3	Opfølgende udvidet jordemoderkonsultation, overvægtig
BKUA22B31	Opfølgende udvidet jordemoderkonsultation, overvægtig, individuel
BKUA22B32	Opfølgende udvidet jordemoderkonsultation, overvægtig, gruppe
BKUA22B4	Opfølgende udvidet jordemoderkonsultation, psykisk problemstilling
BKUA22B5	Opfølgende udvidet jordemoderkonsultation, sociale problemer
BKUA22B6	Opfølgende udvidet jordemoderkonsultation, tidl. perinatalt dødsfald
BKUA22B7	Opfølgende udvidet jordemoderkonsultation, flerfold
BKUA22B71	Opfølgende udvidet jordemoderkonsultation, flerfold, individuel
BKUA22B72	Opfølgende udvidet jordemoderkonsultation, flerfold, gruppe
BKUA22B8	Opfølgende udvidet jordemoderkonsultation, ung
BKUA22B81	Opfølgende udvidet jordemoderkonsultation, ung, individuel
BKUA22B82	Opfølgende udvidet jordemoderkonsultation, ung, gruppe
BKUA22B9	Opfølgende udvidet jordemoderkonsultation, omskåren
BKUA27	Akutte jordemoderkonsultationer
BKUA27A	Akut jordemoderkonsultation før fødslen
BKUA27B	Akut jordemoderkonsultation efter fødslen
BKUA28	Andre jordemoderkonsultationer
BKUA28B	Planlagt jordemoderkonsultation efter fødslen
BKUA3	Særlige ydelser givet under graviditet og efter fødslen
BKUA31	Fødsels- og forældreforberedelse
BKUA31A	Fødsels- og forældreforberedelse, individuel
BKUA31B	Fødsels- og forældreforberedelse, gruppe
BKUA32	Rygestopkonsultation til gravid
BKUA32A	Rygestopkonsultation til gravid, individuel
BKUA32B	Rygestopkonsultation til gravid, gruppe
BKUA33	Kost- og motionskonsultation til gravid
BKUA33A	Kost- og motionskonsultation til gravid, individuel
BKUA33B	Kost- og motionskonsultation til gravid, gruppe
BKUA35	Konsultation til gravid med fødselsangst
BKUA36	Ammekonsultation til gravid
BKUA37	Efterfødselssamtale med jordemoder
BKUA37M	Efterfødselssamtale med jordemoder ved rusmiddelproblematik
BKUA7	Anden konsultation i forbindelse med graviditet ved anden speciallæge
BKUA7M	Speciallægekonsultation ved rusmiddelproblematik i graviditet
BKUA8	Anden konsultation i forbindelse med graviditet ved anden læge
BKUA8M	Anden læge-konsultation ved rusmiddelproblematik i graviditet
BKUW	Andre kontakter i relation til graviditet og fødsel
BKUW1	Andre psyko-sociale interventioner vedrørende graviditet og fødsel
BKUW11	Samtale med psykolog vedrørende graviditet og fødsel
BKV	Pleje i graviditet, fødsel og barsel
BKVA	Generel pleje ved lidelse i graviditet og fødsel
BKVB	Speciel pleje ved lidelse i graviditet og fødsel
BKVC	Pleje i barselsperiode
BKVC0	Barselspleje
BKVC1	Hud til hud kontakt etableret til barn indenfor 2 timer efter fødslen
BKVC2	Hud til hud kontakt i mindst 60 minutter indenfor 6 timer efter fødslen
BKVD	Pleje i fødselsforløb
BKVD1	Fagperson kontinuerligt på stuen i fødslens aktive fase
BKVE	Pleje i graviditetsforløb
BKX	Andre interventioner i relation til graviditet, fødsel og barsel
BKXA	Specificeret intervention i relation til graviditet, fødsel og barsel
BKXA0	Hindeløsning
BKXA1	Accouchement
BKXA2	Holde caput eller sæde oppe ved fremfald af navlesnor
BKXA3	Manuel stimulation
BKXA30	Vestimulation med zoneterapi
BKXA31	Vestimulation med akupunktur
BKXA5	Fjernelse af navleklemme
BKXA6	Anvendelse af cervix pessar
BKXA6A	Oplægning af cervix pessar
BKXA6B	Udtagning af cervix pessar
BKXA6C	Kontrol af cervix pessar
BKXA7	Bækkenbundstræning ved ringmuskelruptur i forbindelse med fødsel
BKXA8	Early feeding (<2 timer post partum)
BKXA9	Andre specificerede interventioner i relation til graviditet, fødsel og barsel
BKXA9A	Anvendelse af rebozo
BKXB	Interventioner med henblik på placentafødsel
BKXB1	Assisteret fødsel af placenta
BKXB10	Assisteret fødsel af placenta ved at lægge barn til bryst
BKXB11	Assisteret fødsel af placenta ved akupunktur
BKXB12	Assisteret fødsel af placenta ved brug af syntocinon i navlesnor
BKXB13	Assisteret fødsel af placenta ved zoneterapi
BKXC	Intervention ved blødning efter fødsel
BKXC0	Kugling af uterus
BKXC1	Kompression af uterus
BKXG	Assistance ved abort
BKXG0	Assistance ved spontan abort
BKXG1	Assistance ved provokeret abort
BKZ	Særlige forhold vedrørende fødselsforløb
BKZA	Fødestilling
BKZA0	Liggende fødestilling
BKZA00	Liggende fødestilling, gynækologisk leje
BKZA01	Liggende fødestilling, sideleje
BKZA02	Liggende fødestilling, på maven over sækkestol
BKZA1	Siddende fødestilling
BKZA10	Siddende fødestilling, hugsiddende
BKZA11	Siddende fødestilling, i sækkestol
BKZA12	Siddende fødestilling, på fødestol eller -skammel
BKZA2	Stående fødestilling
BKZA20	Stående fødestilling, hængende i tov
BKZA21	Stående fødestilling, hængende i hjælper
BKZA9	Fødestilling ikke klassificeret andetsteds
BKZA90	Fødestilling på alle fire
BKZB	Fødsel i vand
BKZS	Fødestilling indtaget spontant
BL	Bevægeapparatet
BLD	Behandling med proteser, ortoser og ortopædisk fodtøj
BLDD	Behandling med overekstremitetsprotese
BLDD0	Behandling med hemiscapulær protese
BLDD00	Behandling med kosmetisk hemiscapulær protese
BLDD01	Behandling med konventionel hemiscapulær protese
BLDD02	Behandling med myo-elektrisk hemiscapulær protese
BLDD03	Behandling med kosmetisk skulderprotese
BLDD04	Behandling med speciel hemiscapulær protese
BLDD1	Behandling med skulderexartikulationsprotese
BLDD10	Behandling med kosmetisk skulderexartikulationsprotese
BLDD11	Behandling med konventionel skulderexartikulationsprotese
BLDD12	Behandling med myo-elektrisk skulderexartikulationsprotese
BLDD13	Behandling med speciel skulderexartikulationsprotese
BLDD2	Behandling med overarmsprotese
BLDD20	Behandling med kosmetisk overarmsprotese
BLDD21	Behandling med konventionel overarmsprotese
BLDD22	Behandling med myo-elektrisk overarmsprotese
BLDD23	Behandling med speciel overarmsprotese
BLDD3	Behandling med albueexartikulationsprotese
BLDD30	Behandling med kosmetisk albueexartikulationsprotese
BLDD31	Behandling med konventionel albueexartikulationsprotese
BLDD32	Behandling med myo-elektrisk albueexartikulationsprotese
BLDD33	Behandling med speciel albueexartikulationsprotese
BLDD4	Behandling med underarmsprotese
BLDD40	Behandling med kosmetisk underarmsprotese
BLDD41	Behandling med konventionel underarmsprotese
BLDD42	Behandling med myo-elektrisk underarmsprotese
BLDD43	Behandling med speciel underarmsprotese
BLDD5	Behandling med håndledsexartikulationsprotese
BLDD50	Behandling med kosmetisk håndledsexartikulationsprotese
BLDD51	Behandling med konventionel håndledsexartikulationsprotese
BLDD52	Behandling med myo-elektrisk håndledsexartikulations-protese
BLDD53	Behandling med speciel håndledsexartikulationsprotese
BLDD6	Behandling med partiel håndprotese
BLDE	Behandling med underekstremitetsprotese
BLDE0	Behandling med hemipelvektomiprotese
BLDE00	Behandling med speciel hemipelvektomiprotese
BLDE1	Behandling med hofteexartikulationsprotese
BLDE10	Behandling med speciel hofteexartikulationsprotese
BLDE2	Behandling med femurprotese
BLDE20	Behandling med speciel femurprotese
BLDE3	Behandling med knæexartikualtionsprotese
BLDE30	Behandling med speciel knæexartikualtionsprotese
BLDE4	Behandling med crusprotese
BLDE40	Behandling med PTB crusprotese
BLDE41	Behandling med speciel PTB crusprotese
BLDE42	Behandling med crusprotese med lårstykke
BLDE43	Behandling med speciel crusprotese med lårstykke
BLDE44	Behandling med Symes-protese
BLDE45	Behandling med speciel Symes-protese
BLDE46	Behandling med Pirogoff-protese
BLDE47	Behandling med speciel Pirogoff-protese
BLDE5	Behandling med kortbensprotese
BLDE50	Behandling med kortbensprotese uden knæled
BLDE51	Behandling med kortbensprotese med knæled
BLDE6	Behandling med partiel lægprotese
BLDE7	Behandling med partiel fodprotese
BLDF	Behandling med ortopædisk fodtøj
BLDF0	Behandling med ortopædisk standardfodtøj
BLDF0A	Behandling med fabriksfremstillede sko med stiv forfodsgænge
BLDF0B	Behandling med fabriksfremstillede sko med totalgænge
BLDF0C	Behandling med fabriksfremstillede sko med specialtilretninger
BLDF1	Behandling med håndsyet ortopædisk fodtøj
BLDF1A	Behandling med håndsyede sko med stiv forfodsgænge
BLDF1B	Behandling med håndsyede sko med totalgænge
BLDF1C	Behandling med håndsyede sko til amputerede
BLDG	Behandling med ortoser
BLDG0	Behandling med overekstremitetsortose
BLDG00	Behandling med skulderortose
BLDG01	Behandling med skulder-albueortose
BLDG02	Behandling med skulder-albue-håndledortose
BLDG03	Behandling med skulder-albue-håndled-håndortose
BLDG2	Behandling med underekstremitetsortose
BLDG20	Behandling med fodortose
BLDG21	Behandling med ankel-fodortose
BLDG22	Behandling med knæortose
BLDG23	Behandling med knæ-ankel-fodortose
BLDG24	Behandling med hofteortose
BLDG25	Behandling med hofte-knæ-ankel-fodortose
BLDG5	Korsetbehandling
BLDG50	Behandling med stofkorset
BLDG51	Behandling med specialkorset
BLDG6	Behandling med halskrave
BLDG60	Behandling med blød halskrave
BLDG61	Behandling med speciel halskrave
BLDZ	Delprocedurer ved behandling med proteser, ortoser og ortopædisk fodtøj
BLDZ0	Måltagning til protese, ortose og ortopædisk fodtøj
BLDZ00	Måltagning til protese
BLDZ01	Måltagning til ortose
BLDZ02	Måltagning til ortopædisk fodtøj
BLDZ1	Prøvning af protese, ortose og ortopædisk fodtøj
BLDZ10	Prøvning af protese
BLDZ11	Prøvning af ortose
BLDZ12	Prøvning af ortopædisk fodtøj
BLDZ2	Tilpasning af protese, ortose og ortopædisk fodtøj
BLDZ20	Tilpasning af protese
BLDZ21	Tilpasning af ortose
BLDZ22	Tilpasning af ortopædisk fodtøj
BLDZ3	Træning med protese, ortose og ortopædisk fodtøj
BLH	Medikamentel behandling af lidelser i bevægeapparatet
BLHM	Medikamentel systemisk behandling af lidelser i muskler, led og knogler
BLHM0	Behandling med NSAID (non steroid antiinflammatory drugs)
BLHM2	Behandling med langsomtvirkende antirheumatika
BLHM3	Behandling med lavdosis cytostatica
BLHM4	Medikamentel behandling med urinsyresænkende middel
BLHM5	Behandling med antirheumatika til udvortes brug
BLHM6	Behandling med muskelrelakserende middel
BLHM7	Behandling med middel mod osteoporose
BLHN	Medikamentel lokalbehandling af lidelser i muskler, led og knogler
BLHN0	Terapeutisk steroidinjektion i led og bløddele
BLHN00	Terapeutisk steroidinjektion i led på overekstremitet
BLHN01	Terapeutisk steroidinjektion i led på underekstremitet
BLHN05	Terapeutisk steroidinjektion i muskulatur
BLHN1	Terapeutisk blokade i led og bløddele
BLHN10	Terapeutisk blokade i led og bløddele på overekstremitet
BLHN11	Terapeutisk blokade i led og bløddele på ryg og columna
BLHN12	Terapeutisk blokade i led og bløddele på underekstremitet
BLHN8	Anden medicinsk lokalbehandling af lidelser i muskler, led og knogler
BLHN80	Osmiumsyresynovektomi
BLK	Pædagogiske interventioner vedrørende bevægeapparatets tilstand og funktion
BLKA	Pædagogisk intervention i forbindelse med behandling af ryglidelse
BLKA0	Rådgivning om rygøvelser
BLKB	Pædagogisk intervention i forbindelse med behandling af fodlidelse
BLKB0	Vejledning vedrørende fodtøj og -pleje
BLKC	Pædagogisk intervention i forbindelse med brug af hjælpemiddel
BLKC0	Vejledning i anvendelse af hjælpemiddel
BLKC00	Vejledning i anvendelse af krykkestok
BLKC01	Vejledning i anvendelse af rollator og gangbuk
BLKC02	Vejledning i anvendelse af kørestol
BLKC03	Vejledning i anvendelse af tilpasset værktøj
BLKD	Pædagogisk intervention i forbindelse med bandagebehandling
BLKD0	Vejledning i pasning af gipsbandage
BLKE	Pædagogiske interventioner i forb. m. inflammatoriske reumatologiske tilstande
BLKE0	Pædagogiske interventioner i forb. m. leddegigt
BLKE1	Pædagogiske interventioner i forb. m. spondylartropati
BLKX	Instruktion i afspænding
BLKZ	Instruktion i anvendelse af træningsmaskiner
BLKZ0	Selvtræning efter instruktion i træningsrum
BLN	Interventioner med relation til bevægeapparatets tilstand og funktion
BLNA	Biomekanisk bevægelsesterapi
BLNA0	Konditionstræning til øgning af aerobe kapacitet
BLNA1	Mobilitetstræning ved aktiv øgning af bevægelighed
BLNA2	Strækninger ved aktiv udspænding af væv
BLNA3	Styrketræning til øgning af maksimale muskelkraft
BLNA30	Koncentrisk styrketræning
BLNA31	Excentrisk styrketræning
BLNA32	Isometrisk styrketræning
BLNA4	Udholdenhedstræning til øgning af muskulær udholdenhed
BLNA40	Koncentrisk udholdenhedstræning
BLNA41	Excentrisk udholdenhedstræning
BLNA42	Isometrisk udholdenhedstræning
BLNA5	Cirkulationsbefordrende øvelser
BLNA6	Vedligeholdelsestræning ved immobilisering
BLNC	Neuromuskulær bevægelsesterapi
BLNC0	Grundmotorisk træning af basisfunktioner
BLNC00	Grundmotorisk træning mhp. at vende sig
BLNC01	Grundmotorisk træning mhp. på at rejse sig fra liggende til siddende stilling
BLNC02	Grundmotorisk træning mhp. at lægge sig ned
BLNC03	Grundmotorisk træning mhp. at rejse sig fra siddende til stående stilling
BLNC04	Grundmotorisk træning mhp. at sætte sig
BLNC05	Grundmotorisk træning mhp. siddefunktionen
BLNC06	Grundmotorisk træning mhp. standfunktionen
BLNC07	Grundmotorisk træning mhp. gangfunktionen
BLNC08	Grundmotorisk træning mhp. trappegangfunktionen
BLNC09	Grundmotorisk træning mhp. brug af hjælpemiddel
BLNC1	Træning af posturalitet og balance
BLNC10	Træning af posturalitet
BLNC11	Træning af balance
BLNC2	Neurofysioterapi mhp. facilitering
BLNC20	Facilitering ved hjælp af sansestimulering
BLNC21	Facilitering ved hjælp af guiding
BLNC22	Facilitering ved hjælp af approximation
BLNC23	Facilitering ved hjælp af separation
BLNC24	Facilitering ved hjælp af strækrefleksudløsning
BLNC25	Facilitering ved hjælp af modstandsøvelser
BLNC26	Facilitering ved hjælp af constraint-induced movement therapy (CIMT)
BLNC3	Neurofysioterapi mhp. kognition
BLNC30	Neurofysioterapi med focus på neglect
BLNC31	Neurofysioterapi med focus på rum og retning
BLNC32	Neurofysioterapi med focus på koncentration
BLNC33	Neurofysioterapi med focus på initiativ
BLNC34	Neurofysioterapi med focus på perception
BLNC35	Neurofysioterapi med focus på praksi
BLNC4	Kontrakturprofylakse ved neurofysioterapi
BLNC40	Kontrakturprofylakse ved hjælp af reflekshæmning
BLNC41	Kontrakturprofylakse ved hjælp af bandagering
BLNC42	Kontrakturprofylakse ved hjælp af mobilisering
BLNC43	Kontrakturprofylakse ved hjælp af lejring
BLNC5	Koordinationstræning
BLNC50	Koordinationstræning mhp. præcision
BLNC51	Koordinationstræning mhp. rytme
BLNC52	Koordinationstræning mhp. timing
BLNC6	Neurofysioterapi mhp. motorisk kontrol
BLNC60	Stabilitetstræning ved neurofysioterapi
BLNC61	Mobilitetstræning ved neurofysioterapi
BLNC7	Sanseintegrationstræning ved neurofysioterapi
BLNC8	Tonusregulering ved neurofysioterapi
BLNC9	Proprioceptiv træning
BLNG	Manuel terapi inklusive bløddelsbehandling og ledmobilisering
BLNG0	Bløddelsbehandling ved manuel terapi
BLNG00	Generel cirkulationsbefordrende massage
BLNG01	Specifik cirkulationsbefordrende massage
BLNG02	Tonusregulerende massage
BLNG03	Relakserende massage
BLNG04	Massage med henblik på normalisering af væv
BLNG05	Psoasmassage
BLNG06	Massage af bækkenbundsmuskulatur
BLNG1	Ledmobilisering
BLNG10	Generel passiv ledmobilisering
BLNG11	Ledfrigøring ved specifik artikulering af et led
BLNG13	Separation af ledflader ved manuel traktion
BLNG2	Manipulation af columna og led
BLNG20	Manipulation af columna cervicalis
BLNG21	Manipulation af columna lumbalis
BLNG22	Artikulering af columna ud over normal bevægebane
BLNG3	Manuel udspændingsbehandling
BLNG30	Generel passiv vævsudspænding
BLNG31	Specifik passiv vævsudspænding
BLNG32	Redressering
BLNG4	Neuroreflektorisk behandling
BLNG40	Bindevævsmassage
BLNG41	Sensorisk stimulation ved manuel terapi
BLNG42	Bindevævsudspænding ved manuel terapi
BLNG43	Acupressure
BLNJ	Apparaturbehandling af lidelse i bevægeapparatet
BLNJ0	Elektroterapi
BLNJ00	Behandling med elektrisk muskelstimulation (EMS)
BLNJ01	Behandling med neuromuskulær stimulation (NMS)
BLNJ02	Behandling med funktionel el-stimulation, FES
BLNJ03	Behandling med transkutan elektrisk nervestimulation (TENS)
BLNJ04	Behandling med kombinationselektroterapi
BLNJ05	Ekstrakorporal shockbølge-terapi (ESWT)
BLNJ05A	Ekstrakorporal shockbølge-terapi (ESWT) af penis
BLNJ1	Laserbehandling
BLNJ10	Bløddelsbehandling med laser
BLNJ2	Indøvelse af muskelkontrol ved bio-feedback
BLNJ20	Vandladningstræning med bio-feedback
BLNJ21	Behandling af muskelspændinger med bio-feedback
BLNJ22	Behandling af lammelse med bio-feedback
BLNJ23	Stimulation med bio-feedback til muskelaktivitet efter immobilisation
BLNJ24	Træning med bio-feedback ved analinkontinens
BLNJ3	Mekanisk terapi
BLNJ30	Maskinel traktionsbehandling
BLNJ31	Maskinel mobiliseringsbehandling
BLNJ32	Behandling med trykbandager
BLNJ33	Ultralydbehandling
BLNJ34	Vibrationsbehandling
BLNJ34A	Transkutan mekanisk nervestimulation (TMNS) af nervus pudendus
BLNJ35	Whirlpool-behandling
BLNJ36	Manipulation efter collagenaseinjektion i Dupuytren streng på hånd/finger
BLNJ4	Strækbehandling af columna
BLNJ40	Strækbehandling af columna cervicalis
BLNJ41	Strækbehandling af columna lumbalis
